Source IP,Destination IP,Source Port,Destination Port,Protocol,SYN Flag Count,ACK Flag Count,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Init Fwd Win Bytes,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow Duration,Flow IAT Mean,Flow IAT Std,Bwd IAT Mean,Down/Up Ratio,Active Mean,Active Std
10.1.1.4,10.1.1.5,80,49154,6,0,2,0,104,0,32768,2,0,0,0,0,0.0,0.0,8383.233532934051,119.76047904191503,16700.00000000016,16700.00000000016,0.0,0.0,0.0,16700.00000000016,0.0
10.1.1.1,10.1.1.4,49169,80,6,0,6658,0,240552,105664,32768,4626,2032,2231264,536,64,149.837725052499,0.0,2698659.836619126,6661.297342184381,999505.0000000001,150.14345801412048,858.7272465698528,491.2358444116199,0.0556694026497759,999505.0000000001,0.0
10.1.1.4,10.1.1.3,80,49166,6,0,5262,0,87724,185900,32768,1687,3575,0,0,0,0.0,536.0,2310150.3265197976,5320.9884782701,988914.0000000003,187.97072799847945,1068.7069788451029,276.6287073307219,18.345753239054957,988914.0000000003,0.0
10.1.1.7,10.1.1.4,49154,80,6,0,7,0,104,260,32768,2,5,1024,512,512,0.0,0.0,6687.426842465598,30.91941076437199,226395.00000000012,37732.50000000002,73061.44581503526,4399.7499999999245,0.3006872852233677,226395.00000000012,0.0
10.1.1.8,10.1.1.4,49154,80,6,0,104,0,3276,2132,32768,63,41,32256,536,176,43.81780460041329,0.0,52852.92993136711,139.03037011488718,748038.0000000002,7262.5048543689345,26991.36044941361,12990.649999999992,0.0782741504390989,748038.0000000002,0.0
10.1.1.4,10.1.1.2,80,49160,6,0,6241,0,100984,223548,32768,1942,4299,0,0,0,0.0,525.7687834380089,2726393.2944765557,6308.666759664158,989274.0,158.5375,908.3525233116135,230.15262912982777,18.84073856112991,989274.0,0.0
10.1.1.9,10.1.1.4,49153,80,6,0,197,0,6708,3536,32768,129,68,66560,536,472,9.967340454134296,0.0,81364.53437917394,199.48740849654345,987530.9999999998,5038.423469387754,13468.139281026222,12408.313432835814,0.0629712924990078,987530.9999999998,0.0
10.1.1.5,10.1.1.4,49153,80,6,0,172,0,6344,2600,32768,122,50,62464,536,56,57.89759189759953,0.0,75620.92100321749,174.57852481146526,985230.0000000005,5761.5789473684235,17581.1955843052,16513.142857142873,0.049292997577601264,985230.0000000005,0.0
10.1.1.6,10.1.1.4,49153,80,6,0,80,0,3224,936,32768,62,18,31744,536,464,7.466052202059062,0.0,74729.25054630161,160.08836877956645,499723.9999999996,6325.620253164552,4640.892843778882,17424.64705882357,0.034918523445294315,499723.9999999996,0.0
10.1.1.4,10.1.1.1,80,49153,6,0,6498,0,102388,235508,32768,1969,4529,0,0,0,0.0,470.96842570103775,2641795.0366990273,6633.3874376014455,979590.0,150.77574265045405,1069.307497965394,216.32685512367493,17.77585431328448,979590.0,0.0
10.1.1.4,10.1.1.3,80,49169,6,0,6075,0,97812,218088,32768,1881,4194,0,0,0,0.0,515.6585598474011,2595716.937964707,6093.298174417774,996997.0000000003,164.1417517286797,1115.923244232656,237.62818984020998,18.654606212500948,996997.0000000003,0.0
10.1.1.4,10.1.1.2,80,49170,6,0,6628,0,101504,243152,32768,1952,4676,0,0,0,0.0,478.1009409751925,2704511.9614013284,6640.158129535186,998168.999999999,150.62154821186041,854.8569358036201,213.49368983957208,18.756733021077284,998168.999999999,0.0
10.1.1.5,10.1.1.4,49153,80,6,0,184,0,6344,3224,32768,122,62,62464,536,416,9.717315962146992,0.0,76714.11407742275,187.34599955199866,982140.0000000002,5366.88524590164,5653.130116361629,13484.475409836068,0.061123316996225564,982140.0000000002,0.0
